Date_Reference,Hour_of_Day,Market_Charges_per_kWh,Ontario_Hourly_Demand_MWh,Non_RPP_Consumption_MWh,Consumption_TOU_kWh,Rate_per_kWh,Season,Day_Type
2022-11-01,1,0.11269,12284,295,0.602,0.074,Winter,0
2022-11-01,2,0.11269,12236,294,0.56,0.074,Winter,0
2022-11-01,3,0.11269,12269,290,0.538,0.074,Winter,0
2022-11-01,4,0.11269,12367,289,0.536,0.074,Winter,0
2022-11-01,5,0.11269,12851,288,0.563,0.074,Winter,0
2022-11-01,6,0.11269,14082,288,0.636,0.074,Winter,0
2022-11-01,7,0.11269,15627,286,0.741,0.151,Winter,0
2022-11-01,8,0.11269,16039,286,0.733,0.151,Winter,0
2022-11-01,9,0.11269,16042,284,0.721,0.151,Winter,0
2022-11-01,10,0.11269,16236,284,0.734,0.151,Winter,0
2022-11-01,11,0.11269,15565,285,0.734,0.102,Winter,0
2022-11-01,12,0.11269,15011,288,0.735,0.102,Winter,0
2022-11-01,13,0.11269,14862,289,0.708,0.102,Winter,0
2022-11-01,14,0.11269,14757,289,0.699,0.102,Winter,0
2022-11-01,15,0.11269,14781,288,0.728,0.102,Winter,0
2022-11-01,16,0.11269,15241,287,0.806,0.102,Winter,0
2022-11-01,17,0.11269,16081,284,0.913,0.151,Winter,0
2022-11-01,18,0.11269,16399,288,1.016,0.151,Winter,0
2022-11-01,19,0.11269,16267,286,1.072,0.074,Winter,0
2022-11-01,20,0.11269,15889,286,1.09,0.074,Winter,0
2022-11-01,21,0.11269,15348,290,1.037,0.074,Winter,0
2022-11-01,22,0.11269,14746,286,0.928,0.074,Winter,0
2022-11-01,23,0.11269,13642,286,0.789,0.074,Winter,0
2022-11-01,24,0.11269,12777,284,0.672,0.074,Winter,0
2022-11-02,1,0.11269,12509,275,0.592,0.074,Winter,0
2022-11-02,2,0.11269,12279,284,0.555,0.074,Winter,0
2022-11-02,3,0.11269,12363,286,0.537,0.074,Winter,0
2022-11-02,4,0.11269,12516,290,0.541,0.074,Winter,0
2022-11-02,5,0.11269,13144,289,0.575,0.074,Winter,0
2022-11-02,6,0.11269,14597,288,0.651,0.074,Winter,0
2022-11-02,7,0.11269,15966,285,0.76,0.151,Winter,0
2022-11-02,8,0.11269,16083,279,0.741,0.151,Winter,0
2022-11-02,9,0.11269,15620,277,0.705,0.151,Winter,0
2022-11-02,10,0.11269,15106,279,0.703,0.151,Winter,0
2022-11-02,11,0.11269,14769,288,0.717,0.102,Winter,0
2022-11-02,12,0.11269,14635,286,0.724,0.102,Winter,0
2022-11-02,13,0.11269,14545,284,0.703,0.102,Winter,0
2022-11-02,14,0.11269,14445,283,0.695,0.102,Winter,0
2022-11-02,15,0.11269,14680,284,0.726,0.102,Winter,0
2022-11-02,16,0.11269,15360,286,0.805,0.102,Winter,0
2022-11-02,17,0.11269,16244,286,0.921,0.151,Winter,0
2022-11-02,18,0.11269,16636,288,1.024,0.151,Winter,0
2022-11-02,19,0.11269,16404,289,1.079,0.074,Winter,0
2022-11-02,20,0.11269,16094,294,1.1,0.074,Winter,0
2022-11-02,21,0.11269,15310,296,1.055,0.074,Winter,0
2022-11-02,22,0.11269,14308,307,0.957,0.074,Winter,0
2022-11-02,23,0.11269,13245,315,0.81,0.074,Winter,0
2022-11-02,24,0.11269,12753,318,0.692,0.074,Winter,0
2022-11-03,1,0.11269,12577,320,0.605,0.074,Winter,0
2022-11-03,2,0.11269,12349,319,0.563,0.074,Winter,0
2022-11-03,3,0.11269,12130,313,0.545,0.074,Winter,0
2022-11-03,4,0.11269,12219,305,0.544,0.074,Winter,0
2022-11-03,5,0.11269,12920,304,0.575,0.074,Winter,0
2022-11-03,6,0.11269,14352,307,0.649,0.074,Winter,0
2022-11-03,7,0.11269,15784,304,0.759,0.151,Winter,0
2022-11-03,8,0.11269,15976,294,0.75,0.151,Winter,0
2022-11-03,9,0.11269,15764,286,0.739,0.151,Winter,0
2022-11-03,10,0.11269,15727,285,0.742,0.151,Winter,0
2022-11-03,11,0.11269,15279,288,0.75,0.102,Winter,0
2022-11-03,12,0.11269,14822,287,0.75,0.102,Winter,0
2022-11-03,13,0.11269,14634,284,0.726,0.102,Winter,0
2022-11-03,14,0.11269,14592,285,0.714,0.102,Winter,0
2022-11-03,15,0.11269,14741,275,0.735,0.102,Winter,0
2022-11-03,16,0.11269,15439,282,0.812,0.102,Winter,0
2022-11-03,17,0.11269,16172,281,0.932,0.151,Winter,0
2022-11-03,18,0.11269,16537,280,1.029,0.151,Winter,0
2022-11-03,19,0.11269,16355,281,1.079,0.074,Winter,0
2022-11-03,20,0.11269,15717,287,1.112,0.074,Winter,0
2022-11-03,21,0.11269,15123,290,1.071,0.074,Winter,0
2022-11-03,22,0.11269,14308,288,0.98,0.074,Winter,0
2022-11-03,23,0.11269,13388,283,0.841,0.074,Winter,0
2022-11-03,24,0.11269,12720,284,0.718,0.074,Winter,0
2022-11-04,1,0.11269,12163,290,0.628,0.074,Winter,0
2022-11-04,2,0.11269,11941,291,0.575,0.074,Winter,0
2022-11-04,3,0.11269,11874,294,0.552,0.074,Winter,0
2022-11-04,4,0.11269,11948,296,0.552,0.074,Winter,0
2022-11-04,5,0.11269,12578,296,0.579,0.074,Winter,0
2022-11-04,6,0.11269,13868,295,0.629,0.074,Winter,0
2022-11-04,7,0.11269,15203,295,0.689,0.151,Winter,0
2022-11-04,8,0.11269,15354,294,0.749,0.151,Winter,0
2022-11-04,9,0.11269,15152,295,0.769,0.151,Winter,0
2022-11-04,10,0.11269,14891,296,0.769,0.151,Winter,0
2022-11-04,11,0.11269,14496,300,0.791,0.102,Winter,0
2022-11-04,12,0.11269,14286,303,0.808,0.102,Winter,0
2022-11-04,13,0.11269,14243,305,0.783,0.102,Winter,0
2022-11-04,14,0.11269,14507,305,0.774,0.102,Winter,0
2022-11-04,15,0.11269,14639,302,0.783,0.102,Winter,0
2022-11-04,16,0.11269,14934,302,0.82,0.102,Winter,0
2022-11-04,17,0.11269,15766,303,0.914,0.151,Winter,0
2022-11-04,18,0.11269,15990,309,1.014,0.151,Winter,0
2022-11-04,19,0.11269,15666,314,1.035,0.074,Winter,0
2022-11-04,20,0.11269,15237,317,1.046,0.074,Winter,0
2022-11-04,21,0.11269,14561,315,1.023,0.074,Winter,0
2022-11-04,22,0.11269,13737,316,0.941,0.074,Winter,0
2022-11-04,23,0.11269,13011,313,0.828,0.074,Winter,0
2022-11-04,24,0.11269,12241,312,0.724,0.074,Winter,0
2022-11-05,1,0.11269,11730,314,0.631,0.074,Winter,1
2022-11-05,2,0.11269,11516,313,0.563,0.074,Winter,1
2022-11-05,3,0.11269,11270,316,0.528,0.074,Winter,1
2022-11-05,4,0.11269,11303,312,0.515,0.074,Winter,1
2022-11-05,5,0.11269,11562,310,0.519,0.074,Winter,1
2022-11-05,6,0.11269,12082,311,0.543,0.074,Winter,1
2022-11-05,7,0.11269,12815,308,0.604,0.074,Winter,1
2022-11-05,8,0.11269,13467,306,0.711,0.074,Winter,1
2022-11-05,9,0.11269,13834,305,0.799,0.074,Winter,1
2022-11-05,10,0.11269,13882,308,0.888,0.074,Winter,1
2022-11-05,11,0.11269,13835,312,0.949,0.074,Winter,1
2022-11-05,12,0.11269,13676,309,0.975,0.074,Winter,1
2022-11-05,13,0.11269,13502,307,0.961,0.074,Winter,1
2022-11-05,14,0.11269,13623,306,0.953,0.074,Winter,1
2022-11-05,15,0.11269,14133,304,0.944,0.074,Winter,1
2022-11-05,16,0.11269,14580,304,0.971,0.074,Winter,1
2022-11-05,17,0.11269,14918,301,1.027,0.074,Winter,1
2022-11-05,18,0.11269,15109,303,1.091,0.074,Winter,1
2022-11-05,19,0.11269,14933,306,1.101,0.074,Winter,1
2022-11-05,20,0.11269,14390,309,1.074,0.074,Winter,1
2022-11-05,21,0.11269,13943,310,1.016,0.074,Winter,1
2022-11-05,22,0.11269,13390,318,0.944,0.074,Winter,1
2022-11-05,23,0.11269,12581,318,0.851,0.074,Winter,1
2022-11-05,24,0.11269,11921,315,0.745,0.074,Winter,1
2022-11-06,1,0.11269,11315,317,0.641,0.074,Winter,1
2022-11-06,2,0.11269,11105,320,0.566,0.074,Winter,1
2022-11-06,3,0.11269,10988,324,0.528,0.074,Winter,1
2022-11-06,4,0.11269,10963,321,0.502,0.074,Winter,1
2022-11-06,5,0.11269,10931,318,0.494,0.074,Winter,1
2022-11-06,6,0.11269,11072,318,0.501,0.074,Winter,1
2022-11-06,7,0.11269,11863,320,0.537,0.074,Winter,1
2022-11-06,8,0.11269,12706,318,0.638,0.074,Winter,1
2022-11-06,9,0.11269,13151,313,0.775,0.074,Winter,1
2022-11-06,10,0.11269,13180,306,0.881,0.074,Winter,1
2022-11-06,11,0.11269,12875,304,0.949,0.074,Winter,1
2022-11-06,12,0.11269,12879,309,1.01,0.074,Winter,1
2022-11-06,13,0.11269,12998,307,1.03,0.074,Winter,1
2022-11-06,14,0.11269,13080,307,1.004,0.074,Winter,1
2022-11-06,15,0.11269,13307,309,0.981,0.074,Winter,1
2022-11-06,16,0.11269,13672,307,0.998,0.074,Winter,1
2022-11-06,17,0.11269,14648,303,1.068,0.074,Winter,1
2022-11-06,18,0.11269,15428,303,1.196,0.074,Winter,1
2022-11-06,19,0.11269,15217,301,1.197,0.074,Winter,1
2022-11-06,20,0.11269,14569,302,1.172,0.074,Winter,1
2022-11-06,21,0.11269,14220,300,1.123,0.074,Winter,1
